id,text,archetype,category_role,category_group,datetime,discovered_topic
1769462387.740229,@S095YD2KQ4S me ayudan a cancelar  este [refund](http://admin.prd.fin/refunds/ref_m27bJ29HY9dXnAkB) pliss. El merchant lo hará directo al usuario porq no tiene ventas y se lo hará directo. Gracias!!!!,Sin Clasificar,support,Soporte,2026-01-26 21:19:47.740,0
1769461204.910779,Reminder: @S095YD2KQ4S Revisar [este](https://fintoc.retool.com/apps/96f7bd9e-76c0-11f0-804e-87bc9964caf6/Ops%20Collection/Ops%20Collection%20Tools/page1) dashboard (pestaña Daily Tasks) antes de cerrar el día.,Reminder (Automático),bot,Bots,2026-01-26 21:00:04.910,4
1769459425.148509,Reminder: @S095YD2KQ4S hacer pago de payouts a merchants y refunds ([paso a paso](https://www.notion.so/Dispersi-n-de-payouts-a-merchants-12e0ff41a1e98011ae70f1eb7033ae25?pvs=24#12e0ff41a1e980e792fbde1905fac6fc)),Reminder (Automático),bot,Bots,2026-01-26 20:30:25.148,0
1769457461.248469,"rai, sobre los ajustes de los payouts:
• hay que hacer el ajuste correspondiente al refund de bancame que hiciste. en el [runbook](https://www.notion.so/fintoc/Refunds-BNPL-2b20ff41a1e98087ba05e9b1df74dd6c) sale el paso a paso
• el otro caso es modificar los fees asociados a [este caso](https://fintoc.slack.com/archives/C06MVR75Z6D/p1768503446463839). [este](https://www.notion.so/fintoc/Regularizaci-n-de-fees-2450ff41a1e980969faecaaf307254f0) es el runbook",Tareas Operacionales Generales,unknown,Otros,2026-01-26 19:57:41.248,0
1769450581.993639,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1401335
RUT: 760791814
Statement Date: 2026-01-25
Missing files: current: 2026_01_25
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-26 18:03:01.993,5
1769450534.589549,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1401335
RUT: 760791814
Statement Date: 2026-01-25
Missing files: current: 2026_01_25
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-26 18:02:14.589,5
1769449839.126729,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1383345
RUT: 771433855
Statement Date: 2026-01-26
Missing files: previous: 2026_01_24
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-26 17:50:39.126,5
1769449798.138859,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1383345
RUT: 771433855
Statement Date: 2026-01-24
Missing files: current: 2026_01_24
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-26 17:49:58.138,5
1769448618.842339,"Reminder: @S095YD2KQ4S descargar [nómina de cargos](http://admin.prd.fin/charge_batches), subirla al [banco](https://login.portalempresas.bancochile.cl/bancochile-web/empresa/login/index.html#/login) y cambiar el estado del batch a waiting_paysheet_result ([paso a paso)](https://www.notion.so/fintoc/Subir-n-mina-de-cargos-9b9f67db366c4b649af85b3cb595c43a?source=copy_link)",Reminder (Automático),bot,Bots,2026-01-26 17:30:18.842,0
1769443298.122819,"@tank-ops-chile estos bancos tienen availability_percentage != 100 (payments - individual - CL):
1. [Banco Falabella](http://admin.prd.fin/product_configs/35/edit) (ID 35) : 0%",RoboCops (Bot),unknown,Otros,2026-01-26 16:01:38.122,1
1769439760.633999,"@tank-ops-chile estos bancos tienen availability_percentage != 100 (payments - individual - CL):
1. [Banco Falabella](http://admin.prd.fin/product_configs/35/edit) (ID 35) : 0%",RoboCops (Bot),unknown,Otros,2026-01-26 15:02:40.633,1
1769439624.940559,Reminder: @S095YD2KQ4S mover plata de Banco Estado al Security ([paso a paso](https://www.notion.so/fintoc/Subir-n-minas-Banco-Estado-Banco-Security-12e0ff41a1e9807f8dc1f11009203836)),Reminder (Automático),bot,Bots,2026-01-26 15:00:24.940,2
1769436173.590389,"@tank-ops-chile estos bancos tienen availability_percentage != 100 (payments - individual - CL):
1. [Banco Falabella](http://admin.prd.fin/product_configs/35/edit) (ID 35) : 0%",RoboCops (Bot),unknown,Otros,2026-01-26 14:02:53.590,1
1769432412.165349,Reminder: @S095YD2KQ4S hacer movimiento semanal de BICE a Security ([paso a paso](https://www.notion.so/fintoc/Subir-n-minas-Banco-BICE-Banco-Security-1e40ff41a1e98063b074f3d24800e7b1)),Reminder (Automático),bot,Bots,2026-01-26 13:00:12.165,2
1769432401.432549,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1401335
RUT: 760791814
Statement Date: 2026-01-24
Missing files: current: 2026_01_24
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-26 13:00:01.432,5
1769432400.504729,"@S095YD2KQ4S :warning: BICE Bank Statement files not found
Account: 1383345
RUT: 771433855
Statement Date: 2026-01-24
Missing files: current: 2026_01_24
Please check GCP and generate manually if needed.",Advertencias Bank Statements BICE,unknown,Otros,2026-01-26 13:00:00.504,5
1769431717.951539,"me dijeron de kushki que arreglaron el problema de la api, pal prox onboarding podrías usar [este workflow](https://fintoc.app.n8n.cloud/form/7452b5eb-d3af-4f14-acc3-b0f3b87e08eb) @S095YD2KQ4S?
cc @antonia.fuenzalida",Gestión de Contracargos,unknown,Otros,2026-01-26 12:48:37.951,6
1769431508.150289,"Reminder: @S095YD2KQ4S sube el [universo](https://portalempresas.bancochile.cl/mibancochile-web/front/empresa/index.html#/portal/recaudacion-pac/universo) a [upload_contracts](http://admin.prd.fin/contracts/upload_contracts_snapshot_form), después la [rendición](https://portalempresas.bancochile.cl/mibancochile-web/front/empresa/index.html#/portal/recaudacion-pac/nominasProcesadas) a [charge_batches](http://admin.prd.fin/charge_batches) y descarga los paysheets del [payout batch](http://admin.prd.fin/payout_batches?q%5Bproduct_id_eq%5D=8&amp;commit=Filtrar&amp;subdomain=admin&amp;order=id_desc) en :banco-chile: ([paso a paso](https://www.notion.so/fintoc/Actualizaci-n-de-Universo-de-Contratos-9bd924a99fd24fb08cb4d1cd7abe3d30?source=copy_link))",Reminder (Automático),bot,Bots,2026-01-26 12:45:08.150,10
1769430626.471929,Reminder: @S095YD2KQ4S hacer proceso de [nómina Unired](https://www.notion.so/fintoc/Subir-n-mina-Unired-30a1189fbcb34c2b9d988d3c5347e998),Reminder (Automático),bot,Bots,2026-01-26 12:30:26.471,9
1769430625.918619,Reminder: @S095YD2KQ4S Cambiar los miembros de los tags de ops-auth según [este](https://docs.google.com/spreadsheets/d/1UBmOGkcFJms9e2EU8MYbpkIL6OycVTMC/edit?gid=1884171324#gid=1884171324) calendario.,Reminder (Automático),bot,Bots,2026-01-26 12:30:25.918,4
1769430621.816369,Reminder: @S095YD2KQ4S hacer proceso de [refresh de cuentas BICE](https://www.notion.so/fintoc/Refresh-cuentas-BICE-1e40ff41a1e9809c9323cbb614036b37),Reminder (Automático),bot,Bots,2026-01-26 12:30:21.816,8
1769430621.078969,Reminder: @S08KGHVFHUN Hacer cierre contable de cuentas recaudadoras. [Acá](https://www.notion.so/fintoc/Cierres-contables-v-a-Ledger-2880ff41a1e98032876af54dac9a307f?source=copy_link) la guía.,Reminder (Automático),bot,Bots,2026-01-26 12:30:21.078,0
1769430614.490619,Reminder: @S095YD2KQ4S Revisar [acá](http://admin.prd.fin/batch_paysheets?subdomain=admin&amp;order=id_desc&amp;q%5Bstatus_eq%5D=7&amp;q%5Bcreated_at_gteq%5D=2025-07-01&amp;commit=Filtrar) si hay paysheets pegadas en estado `stuck`. En [este](https://www.notion.so/fintoc/Flujo-para-destrabar-Paysheets-2450ff41a1e98090b777ee3efb4469d2?source=copy_link) manual se explica cómo procesar esas nóminas.,Reminder (Automático),bot,Bots,2026-01-26 12:30:14.490,0
1769428873.080879,"@tank-ops-chile estos bancos tienen availability_percentage != 100 (payments - individual - CL):
1. [Banco Falabella](http://admin.prd.fin/product_configs/35/edit) (ID 35) : 0%",RoboCops (Bot),unknown,Otros,2026-01-26 12:01:13.080,1
1769425359.167889,"@tank-ops-chile estos bancos tienen availability_percentage != 100 (payments - individual - CL):
1. [Banco Falabella](http://admin.prd.fin/product_configs/35/edit) (ID 35) : 0%",RoboCops (Bot),unknown,Otros,2026-01-26 11:02:39.167,1
1769421928.523019,"@tank-ops-chile estos bancos tienen availability_percentage != 100 (payments - individual - CL):
1. [Banco Falabella](http://admin.prd.fin/product_configs/35/edit) (ID 35) : 0%",RoboCops (Bot),unknown,Otros,2026-01-26 10:05:28.523,1
1769206672.391609,"@paula.​yoma esto fue lo [único](https://fintoc.slack.com/archives/C018V6ABKAB/p1769205858988209?thread_ts=1769201099.052889&amp;cid=C018V6ABKAB) que no pude tomar
1. no entiendo mucho de que hablan
2. no supe hacer el [instatus](https://fintoc.slack.com/archives/C07887PF18F/p1769206190247189), usé la app de retool y se lanzó ese de pagos, lo resolví ahí mismo pero no se si me habra quedado algo pendiente
si me puedes ayudar con eso en caso de que haya quedado colgado!",Sin Clasificar,unknown,Otros,2026-01-23 22:17:52.391,-1
